300,1.552770264,2.86E-06
310,1.552770264,1.37E-06
320,1.552770264,6.66E-07
322,1.545869929,6.66E-07
334,1.545869929,2.64E-07
344,1.540446687,2.64E-07
350,1.540446687,9.29E-08
365,1.540446687,3.42E-08
366,1.536090528,3.42E-08
370,1.536090528,2.74E-08
380,1.536090528,2.07E-08
388,1.532527732,2.07E-08
390,1.532527732,1.37E-08
400,1.532527732,1.02E-08
405,1.532527732,9.06E-09
410,1.529568767,9.06E-09
420,1.529568767,9.39E-09
432,1.527078429,9.39E-09
436,1.527078429,1.11E-08
454,1.524957846,1.11E-08
460,1.524957846,1.03E-08
476,1.523133174,1.03E-08
498,1.521548253,1.03E-08
500,1.521548253,9.58E-09
520,1.520159688,9.58E-09
542,1.518933478,9.58E-09
546,1.518933478,6.97E-09
564,1.517842648,6.97E-09
580,1.517842648,9.25E-09
586,1.516865557,9.25E-09
608,1.515984669,9.25E-09
620,1.515984669,1.19E-08
630,1.515185645,1.19E-08
652,1.51445666,1.19E-08
660,1.51445666,1.26E-08
674,1.51378789,1.26E-08
696,1.513171112,1.26E-08
700,1.513171112,8.93E-09
718,1.512599402,8.93E-09
740,1.512066895,8.93E-09
762,1.51156859,8.93E-09
784,1.511100206,8.93E-09
806,1.510658057,8.93E-09
828,1.510238956,8.93E-09
850,1.509840135,8.93E-09
872,1.50945918,8.93E-09
894,1.509093978,8.93E-09
916,1.508742673,8.93E-09
938,1.508403627,8.93E-09
960,1.508075392,8.93E-09
982,1.507756683,8.93E-09
1004,1.507446357,8.93E-09
1026,1.507143392,8.93E-09
1048,1.506846874,8.93E-09
1060,1.506846874,1.01E-08
1070,1.506555982,1.01E-08
1092,1.506269979,1.01E-08
1114,1.505988198,1.01E-08
1136,1.505710037,1.01E-08
1158,1.50543495,1.01E-08
1180,1.505162442,1.01E-08
1202,1.50489206,1.01E-08
1224,1.504623394,1.01E-08
1246,1.504356065,1.01E-08
1268,1.50408973,1.01E-08
1290,1.503824072,1.01E-08
1312,1.503558798,1.01E-08
1334,1.503293642,1.01E-08
1356,1.503028354,1.01E-08
1378,1.502762706,1.01E-08
1400,1.502496485,1.01E-08
1422,1.502229493,1.01E-08
1444,1.501961547,1.01E-08
1466,1.501692477,1.01E-08
1488,1.501422121,1.01E-08
1510,1.501150331,1.01E-08
1530,1.501150331,9.84E-08
1532,1.500876967,9.84E-08
1554,1.500601898,9.84E-08
1576,1.500324999,9.84E-08
1598,1.500046155,9.84E-08
1620,1.499765255,9.84E-08
1642,1.499482196,9.84E-08
1664,1.499196879,9.84E-08
1686,1.498909211,9.84E-08
1708,1.498619104,9.84E-08
1730,1.498326472,9.84E-08
1752,1.498031236,9.84E-08
1774,1.497733318,9.84E-08
1796,1.497432645,9.84E-08
1818,1.497129146,9.84E-08
1840,1.496822753,9.84E-08
1862,1.4965134,9.84E-08
1884,1.496201026,9.84E-08
1906,1.495885568,9.84E-08
1928,1.495566968,9.84E-08
1950,1.49524517,9.84E-08
1970,1.49524517,1.09E-06
1972,1.494920117,1.09E-06
1994,1.494591757,1.09E-06
2016,1.494260036,1.09E-06
2038,1.493924904,1.09E-06
2060,1.49358631,1.09E-06
2082,1.493244207,1.09E-06
2104,1.492898546,1.09E-06
2126,1.49254928,1.09E-06
2148,1.492196363,1.09E-06
2170,1.49183975,1.09E-06
2192,1.491479396,1.09E-06
2214,1.491115257,1.09E-06
2236,1.490747289,1.09E-06
2258,1.49037545,1.09E-06
2280,1.489999697,1.09E-06
2302,1.489619988,1.09E-06
2324,1.48923628,1.09E-06
2325,1.48923628,4.29E-06
2346,1.488848531,4.29E-06
2368,1.488456702,4.29E-06
2390,1.488060749,4.29E-06
2412,1.487660633,4.29E-06
2434,1.487256312,4.29E-06
2456,1.486847745,4.29E-06
2478,1.486434891,4.29E-06
2500,1.48601771,0.00000813
